gene_id	NC.1	NC.2	NC.3	Sora.1	Sora.2	Sora.3	Spi.1	Spi.2	Spi.3	Teg.1	Teg.2	Teg.3
ENSG00000000003	1438	1457	1500	2023	1669	1864	1437	1342	1490	1494	1433	1381
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	1501	1472	1469	1184	953	959	1351	1374	1357	1154	1047	1053
ENSG00000000457	98	132	141	95	110	98	126	113	128	111	90	107
ENSG00000000460	322	340	312	239	260	210	307	315	271	250	272	195
ENSG00000000938	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000000971	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001036	3781	3664	3861	2914	2725	2710	3754	3781	3871	3272	3725	3444
ENSG00000001084	3248	3314	3212	1767	1570	1587	2409	2374	2309	2240	2612	2596
ENSG00000001167	938	901	926	705	607	677	820	833	796	743	790	721
ENSG00000001460	96	107	99	78	62	72	96	70	82	57	86	59
ENSG00000001461	202	244	251	224	242	247	184	211	221	210	232	217
ENSG00000001497	855	838	821	612	629	560	870	890	859	660	840	785
ENSG00000001561	3	4	1	5	0	2	2	6	6	3	4	5
ENSG00000001617	788	739	684	653	652	652	634	620	674	679	835	679
ENSG00000001626	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629	863	821	822	952	870	865	890	914	984	972	978	914
ENSG00000001630	3020	3227	3164	3569	3027	3404	3698	3389	3669	3101	3136	2659
ENSG00000001631	475	498	462	523	521	587	645	650	696	600	475	495
ENSG00000002016	143	188	153	160	182	191	190	197	201	166	176	188
ENSG00000002079	8	13	11	2	13	6	5	4	8	16	17	8
ENSG00000002330	158	137	136	178	140	172	146	144	144	115	146	144
ENSG00000002549	1815	1770	1891	1499	1383	1436	1639	1590	1643	1912	2180	1945
ENSG00000002586	1293	1302	1276	1806	1557	1650	1269	1266	1321	1247	1565	1367
ENSG00000002586_PAR_Y	1293	1302	1276	1806	1557	1650	1269	1266	1321	1247	1565	1367
ENSG00000002587	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002726	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002745	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000002746	0	0	0	0	0	1	2	1	0	0	0	0
ENSG00000002822	885	796	792	575	471	470	642	655	594	583	802	591
ENSG00000002834	8949	9038	8728	7636	6250	7068	7917	7792	8013	7093	9236	7614
ENSG00000002919	265	285	324	221	220	192	304	295	330	251	236	259
ENSG00000002933	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056	1736	1578	1634	1199	990	1065	1809	1707	1819	1324	1577	1283
ENSG00000003096	25	40	31	53	65	69	18	35	32	19	32	27
ENSG00000003137	9	4	6	0	4	4	6	6	4	4	1	2
ENSG00000003147	0	1	2	0	0	1	0	1	2	2	2	0
ENSG00000003249	965	915	907	623	690	706	829	856	918	808	1178	953
ENSG00000003393	772	836	836	1032	911	998	908	882	927	777	953	873
ENSG00000003400	608	533	548	517	545	554	523	617	641	673	773	685
ENSG00000003402	1215	1221	1158	1760	1512	1535	1202	1075	1256	1090	1250	1149
ENSG00000003436	7181	7090	7510	4462	4477	4603	9187	10099	11505	11546	11479	11567
ENSG00000003509	353	390	362	332	351	346	327	323	347	315	374	316
ENSG00000003756	1548	1574	1605	1999	1897	2141	1776	1591	1808	1492	1682	1535
ENSG00000003987	24	17	26	39	31	25	31	31	27	29	27	33
ENSG00000003989	5038	5359	4983	2890	3381	3194	4680	5060	5409	5606	5807	6143
ENSG00000004059	948	878	853	1179	1053	1068	1027	836	990	785	988	930
ENSG00000004139	33	32	32	47	41	52	49	51	52	28	60	39
ENSG00000004142	2352	2106	2244	2174	2006	1890	1909	1943	2166	1721	2247	1844
ENSG00000004399	3106	3085	2937	1544	1439	1495	2735	2798	2843	3525	4769	3958
ENSG00000004455	2380	2396	2575	2207	2156	1936	2479	2700	2701	2348	2649	2498
ENSG00000004468	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004478	2660	2503	2445	1220	973	1053	2223	2137	2234	1908	2311	1940
ENSG00000004487	3127	3240	3240	3467	3092	3279	3493	3462	3430	2945	3462	3121
ENSG00000004534	1253	1217	1226	1710	1748	1823	1756	1807	1746	1624	1904	1707
ENSG00000004660	14	20	18	27	26	12	31	16	24	17	27	13
ENSG00000004700	500	487	570	424	364	363	473	557	532	495	531	455
ENSG00000004766	224	233	214	230	226	212	229	271	255	239	240	208
ENSG00000004776	5	7	5	2	5	3	3	4	5	3	3	5
ENSG00000004777	64	62	73	373	328	359	96	116	134	96	104	110
ENSG00000004779	1915	1877	1950	1447	1342	1245	1798	1885	1877	1696	1754	1728
ENSG00000004799	0	0	1	0	0	1	0	0	1	1	3	2
ENSG00000004809	0	4	0	0	0	5	0	1	1	1	0	0
ENSG00000004838	3	5	2	9	7	13	8	8	6	4	4	4
ENSG00000004846	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004848	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004864	2111	2096	2140	2053	1856	1960	1927	1930	1907	1924	2045	1868
ENSG00000004866	324	270	297	371	279	316	353	316	317	290	322	239
ENSG00000004897	2116	2178	2136	2179	1928	1973	2229	2415	2476	2020	1937	1985
ENSG00000004939	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004948	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004961	463	423	423	279	199	235	348	355	354	295	350	329
ENSG00000004975	920	889	808	1024	886	908	1163	1035	1189	722	993	842
ENSG00000005001	4	0	4	7	1	1	1	0	1	3	5	6
ENSG00000005007	3679	3572	3509	3777	3431	3656	3475	3191	3266	2554	3222	2868
ENSG00000005020	380	416	458	529	472	469	430	383	433	434	401	434
ENSG00000005022	5700	5618	5815	5246	4800	5010	5388	5537	5794	5334	6285	5728
ENSG00000005059	10	15	13	10	7	8	11	11	13	11	10	23
ENSG00000005073	1	0	1	0	0	0	0	2	0	1	0	0
ENSG00000005075	590	606	540	562	495	469	552	572	543	419	455	457
ENSG00000005100	1715	1638	1652	1062	896	841	1875	1851	1840	1325	1544	1328
ENSG00000005102	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005108	2	1	1	0	1	0	0	0	0	0	0	0
ENSG00000005156	1005	902	942	687	673	718	1022	1021	1100	954	1110	1006
ENSG00000005175	421	421	469	360	292	364	451	481	424	390	356	372
ENSG00000005187	639	638	620	895	836	1055	284	217	371	437	462	408
ENSG00000005189	134	119	100	170	183	174	155	155	140	168	167	156
ENSG00000005194	1198	1145	1307	965	757	886	1250	1182	1198	990	1117	950
ENSG00000005206	496	443	433	800	730	773	773	745	849	570	710	635
ENSG00000005238	66	76	68	112	103	82	54	60	60	94	110	91
ENSG00000005243	0	4	2	1	0	2	2	5	3	5	4	4
ENSG00000005249	0	0	0	0	0	1	1	1	3	1	1	0
ENSG00000005302	151	156	187	185	194	187	205	175	216	218	176	206
ENSG00000005339	2959	3146	3038	2543	2367	2397	2421	2306	2490	1909	2428	1984
ENSG00000005379	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000005381	0	1	0	0	0	0	0	0	1	0	0	0
ENSG00000005421	4	2	3	12	12	12	3	1	5	8	6	2
ENSG00000005436	517	468	428	463	379	447	565	615	545	487	538	451
ENSG00000005448	70	92	84	151	205	187	128	130	157	116	137	128
ENSG00000005469	97	115	101	230	181	204	167	123	120	97	112	101
ENSG00000005471	413	453	384	470	431	423	342	364	405	409	454	384
ENSG00000005483	903	895	895	1407	1250	1365	1104	1146	1268	1008	1128	1082
ENSG00000005486	453	488	462	451	432	435	591	538	594	384	454	460
ENSG00000005513	19	17	12	8	4	5	22	12	20	19	19	15
ENSG00000005700	1772	1705	1763	1598	1613	1659	1579	1709	1925	2188	2067	2081
ENSG00000005801	379	415	402	287	241	232	426	445	412	302	229	227
ENSG00000005810	1556	1660	1726	1377	1235	1282	1423	1424	1670	1399	1693	1467
ENSG00000005812	522	532	563	454	457	428	384	452	470	407	366	366
ENSG00000005844	10	11	16	57	47	51	20	10	9	29	37	30
ENSG00000005882	302	306	315	566	553	483	276	285	330	336	446	385
ENSG00000005884	29	11	30	19	24	20	33	30	27	32	58	34
ENSG00000005889	629	575	616	1418	1272	1379	734	672	843	621	638	550
ENSG00000005893	2666	2709	2566	2869	2615	2713	2863	2668	3142	2814	2945	2782
ENSG00000005961	4	3	8	12	16	11	12	8	7	13	7	11
ENSG00000005981	36	49	51	17	11	10	27	27	28	53	64	38
ENSG00000006007	1114	998	1034	992	855	861	1276	1209	1348	1145	1251	1147
ENSG00000006015	176	145	104	140	140	109	142	145	163	133	154	115
ENSG00000006016	3847	3706	3702	2501	2158	2217	3838	4151	4150	3616	4745	4399
ENSG00000006025	61	70	62	263	216	238	150	146	204	153	143	128
ENSG00000006042	1315	1291	1302	1237	1030	1054	1323	1313	1415	1106	1399	1158
ENSG00000006047	3	3	3	12	27	23	5	6	7	3	5	7
ENSG00000006059	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	193	186	177	96	91	79	144	131	142	96	127	99
ENSG00000006071	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006116	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118	709	719	715	777	709	737	957	901	946	640	874	762
ENSG00000006125	2823	2730	2910	3275	3184	3162	3063	2960	3157	3310	3773	3383
ENSG00000006128	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006194	642	570	534	426	371	426	563	541	561	402	454	420
ENSG00000006210	1574	1546	1538	2252	1678	2160	1615	1237	1503	1314	1735	1272
ENSG00000006282	1536	1429	1501	1814	1694	1692	1525	1500	1585	1468	1882	1612
ENSG00000006283	0	0	3	1	1	4	0	1	2	0	1	0
ENSG00000006327	1567	1490	1366	401	417	373	855	782	772	768	1163	1064
ENSG00000006377	114	102	93	103	100	108	127	138	134	76	68	74
ENSG00000006432	511	496	461	432	389	424	487	518	559	503	714	723
ENSG00000006451	594	560	622	487	426	413	470	515	522	506	499	510
ENSG00000006453	962	900	837	462	492	480	557	640	675	738	852	852
ENSG00000006459	1732	1748	1762	889	889	911	1380	1442	1693	2228	2049	2307
ENSG00000006468	2	2	4	3	0	4	4	9	7	4	1	1
ENSG00000006530	514	528	479	443	362	366	552	515	570	432	475	494
ENSG00000006534	107	136	85	574	586	508	111	80	130	135	138	182
ENSG00000006555	0	1	0	0	0	0	0	0	1	0	0	0
ENSG00000006576	265	230	285	193	239	188	296	322	332	240	207	221
ENSG00000006606	0	1	0	0	0	0	2	0	1	0	0	0
ENSG00000006607	971	934	917	885	754	833	928	883	909	674	783	763
ENSG00000006611	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000006625	563	543	579	426	372	387	506	544	479	467	460	425
ENSG00000006634	412	426	396	336	296	305	417	387	426	319	263	249
ENSG00000006638	2	1	3	1	1	1	0	1	5	5	4	6
ENSG00000006652	1579	1568	1715	501	512	464	649	687	718	607	641	639
ENSG00000006659	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	387	380	361	281	309	309	395	342	358	369	422	363
ENSG00000006704	754	692	691	804	713	748	568	588	587	578	814	692
ENSG00000006712	891	940	946	761	720	688	917	852	902	726	865	743
ENSG00000006715	509	569	541	600	505	621	671	750	756	596	651	537
ENSG00000006740	154	126	128	143	142	125	145	111	133	88	130	114
ENSG00000006744	1403	1381	1391	912	813	754	1438	1493	1333	1035	1312	1058
ENSG00000006747	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006756	190	160	173	147	180	178	241	200	252	192	238	202
ENSG00000006757	207	194	216	258	227	213	191	181	179	162	241	197
ENSG00000006788	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006831	2226	2162	2292	1807	1527	1765	2212	2236	2365	2204	2549	2230
ENSG00000006837	10	14	11	18	14	13	20	15	17	17	15	5
ENSG00000007001	1	1	2	1	2	0	2	0	3	2	3	0
ENSG00000007038	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007047	738	708	689	739	769	769	605	646	736	834	1136	1052
ENSG00000007062	208	208	183	199	237	224	177	211	180	245	308	255
ENSG00000007080	706	749	724	497	413	462	782	722	716	541	692	637
ENSG00000007129	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007168	1607	1596	1609	1380	1290	1272	1370	1395	1342	1317	1430	1304
ENSG00000007171	0	1	5	0	0	1	3	2	0	2	0	0
ENSG00000007174	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007202	4345	4298	4195	2979	2734	2782	4966	4831	4975	4198	5244	4284
ENSG00000007216	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007237	36	43	48	36	22	21	21	15	30	23	36	38
ENSG00000007255	33	41	35	87	99	83	82	51	80	58	59	64
ENSG00000007264	1	1	1	0	0	2	0	0	0	0	1	0
ENSG00000007306	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312	0	3	0	0	0	0	1	0	0	1	0	2
ENSG00000007314	1	2	3	0	1	0	0	0	0	0	1	0
ENSG00000007341	204	144	147	132	119	117	180	181	192	127	135	138
ENSG00000007350	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007372	7	9	5	11	1	5	8	13	1	5	11	7
ENSG00000007376	603	543	495	321	255	264	473	382	437	348	436	306
ENSG00000007384	149	144	170	176	174	176	208	241	221	196	276	230
ENSG00000007392	517	538	471	722	722	697	658	694	663	662	791	742
ENSG00000007402	1	1	0	2	3	2	0	7	1	1	2	1
ENSG00000007516	55	57	53	95	75	93	101	137	136	107	162	201
ENSG00000007520	743	684	640	619	485	574	607	682	606	588	644	622
ENSG00000007541	372	372	351	375	276	250	414	386	399	228	321	284
ENSG00000007545	793	796	725	587	527	523	775	664	752	589	644	631
ENSG00000007866	886	879	802	756	690	665	942	879	965	710	1022	887
ENSG00000007908	0	0	0	3	0	1	2	0	1	2	0	0
ENSG00000007923	1673	1658	1637	1628	1320	1478	2000	1909	1984	1584	1932	1799
ENSG00000007933	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000007944	85	108	90	105	106	98	160	133	162	101	167	103
ENSG00000007952	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007968	161	208	196	126	106	135	154	134	155	79	96	101
ENSG00000008018	2843	2716	3082	2167	1955	2043	2710	2764	2731	2488	2983	2689
ENSG00000008056	6	2	1	1	2	4	7	5	2	3	6	2
ENSG00000008083	638	669	638	951	804	766	631	642	643	679	792	646
ENSG00000008086	220	184	185	329	311	405	176	163	161	169	189	163
ENSG00000008118	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008128	519	543	529	494	516	467	641	670	724	490	635	503
