quantifier	contrast	library	gsea_name	term	es	nes	nominal_p	fdr	fwer	tag_fraction	gene_fraction	leading_edge_genes
RSEM	SoravsNC	GO_Biological_Process_2025	prerank	'De Novo' Post-Translational Protein Folding (GO:0051084)	-0.706529113609	-1.94044365759	0	0.00221123196082	0.06	20/35	8.27%	HSPA5;HSPA9;TCP1;CCT6A;CCT2;UGGT1;CCT5;CCT4;CCT3;CCT7;HSPA13;SDF2L1;CCT8;HSPE1;PTGES3;HSPA8;SELENOF;DNAJC7;HSPA14;DNAJB1
RSEM	SoravsNC	GO_Biological_Process_2025	prerank	+ Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051897)	-0.374397822927	-1.24374598867	0.0904255319149	0.331293550505	1	33/109	15.54%	GDF15;XBP1;THBS1;SRC;F2RL1;FGFR1;ITGB1;TGFB1;C1QBP;MYDGF;TYRO3;PHB1;PTPN11;HAX1;HBEGF;PDGFRB;NKX3-1;CBL;AXL;MFHAS1;IL18;PDGFA;MTDH;SPRY2;TCF7L2;PARK7;RTN4;THPO;RYK;ITGB1BP1;OSBPL8;NEDD4;SELENOP
RSEM	SoravsNC	GO_Biological_Process_2025	prerank	+ Reg of Transmembrane Receptor Prot Serine/Threonine Kinase Sgnlng Pway (GO:0090100)	-0.431255007328	-1.32232062218	0.0682226211849	0.265732786611	1	11/64	6.69%	THBS1;TGFBR3;TGFBR2;TGFB1;BMP4;NUP93;HSP90AB1;CDKN2B;GIPC1;LRG1;ADISSP
RSEM	SoravsNC	GO_Biological_Process_2025	prerank	- Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051898)	0.379653359301	1.10090327703	0.289915966387	0.566911366701	1	13/40	11.53%	PPARA;NHERF1;TSC2;PIK3IP1;PLEKHA1;DAG1;NOP53;DAB2IP;PTEN;USP49;PHLPP1;GPER1;PHLDA3
RSEM	SoravsNC	GO_Biological_Process_2025	prerank	- Reg of Transmembrane Receptor Prot Serine/Threonine Kinase Sgnlng Pway (GO:0090101)	-0.372620294362	-1.21366011901	0.126079447323	0.357431495626	1	22/100	13.31%	GDF15;XBP1;TGFBR3;FST;SPRY1;SPRED2;BAMBI;UBE2D3;CRIM1;SINHCAF;SPRED1;SNX25;FKBP1A;HDAC2;ZBTB7A;SRFBP1;SPRY2;UBE2D1;MAGI2;SMURF1;EMILIN1;SMAD6
RSEM	SoravsNC	GO_Biological_Process_2025	prerank	2-Oxoglutarate Metabolic Process (GO:0006103)	0.636478827501	1.44928554801	0.0477223427332	0.23593328728	1	8/15	14.64%	PHYH;IDH2;LDHD;ATAT1;D2HGDH;IDH1;L2HGDH;ADHFE1
RSEM	SoravsNC	GO_Biological_Process_2025	prerank	3'-UTR-mediated mRNA Destabilization (GO:0061158)	-0.443158841918	-1.0412797304	0.423507462687	0.538327066594	1	8/17	17.08%	ZFP36L1;RBM24;TRIM71;KHSRP;PLEKHN1;ZFP36;DHX36;ZC3H12A
RSEM	SoravsNC	GO_Biological_Process_2025	prerank	ADP Catabolic Process (GO:0046032)	0.684254122308	1.74708722004	0	0.0457953080833	0.868	14/23	14.20%	PKLR;PGM1;ENO3;ALDOC;PFKL;TPI1;GAPDH;HOOK2;LDHA;PGK1;ENO2;HOOK3;PFKFB1;ENO1
RSEM	SoravsNC	GO_Biological_Process_2025	prerank	ATP Biosynthetic Process (GO:0006754)	-0.460372837411	-1.15059683903	0.283783783784	0.409941873386	1	12/22	25.77%	TGFB1;ATP5MK;ATP5MC1;ATP5F1E;ATP5MG;ATP5MF;ATP5F1B;ATP5MC3;PRKAG2;ATP5PB;ATP5PF;ATP5F1D
RSEM	SoravsNC	GO_Biological_Process_2025	prerank	ATP Metabolic Process (GO:0046034)	0.488182374695	1.48533421852	0.0111607142857	0.211882986775	1	20/52	14.20%	PKLR;AK4;ENPP3;PGM1;ENO3;ALDOC;PFKL;TPI1;GAPDH;HOOK2;LDHA;HSPA1A;HSPA1B;PGK1;ENO2;ATP5PO;HOOK3;PFKFB1;ALDOB;ENO1
RSEM	SoravsNC	GO_Biological_Process_2025	prerank	Acetylcholine Receptor Signaling Pathway (GO:0095500)	-0.422339368424	-1.01903963461	0.424954792043	0.562392613855	1	6/19	19.56%	GRK2;LY6E;CDK5R1;CHRNA5;RGS10;GNB1
RSEM	SoravsNC	GO_Biological_Process_2025	prerank	Actin Filament Bundle Assembly (GO:0051017)	0.465521306291	1.2803529458	0.131519274376	0.385796394704	1	7/32	7.01%	ESPN;DMTN;CALD1;FSCN1;NEDD9;AIF1L;PLS3
RSEM	SoravsNC	GO_Biological_Process_2025	prerank	Actin Filament Bundle Organization (GO:0061572)	0.464513351417	1.28530547957	0.121076233184	0.387918484144	1	7/32	7.01%	ESPN;DMTN;CALD1;FSCN1;NEDD9;AIF1L;PLS3
RSEM	SoravsNC	GO_Biological_Process_2025	prerank	Actin Filament Capping (GO:0051693)	0.624328702241	1.47224079316	0.0590631364562	0.216947661168	1	4/15	6.92%	GSN;VIL1;TWF2;ADD3
