contrast	library	term	nes	nominal_p	fdr	leading_edge_genes
SoravsNC	GO_Biological_Process_2025	'De Novo' Post-Translational Protein Folding (GO:0051084)	-1.94044365759	0	0.00221123196082	HSPA5;HSPA9;TCP1;CCT6A;CCT2;UGGT1;CCT5;CCT4;CCT3;CCT7;HSPA13;SDF2L1;CCT8;HSPE1;PTGES3;HSPA8;SELENOF;DNAJC7;HSPA14;DNAJB1
SoravsNC	GO_Biological_Process_2025	ADP Catabolic Process (GO:0046032)	1.74708722004	0	0.0457953080833	PKLR;PGM1;ENO3;ALDOC;PFKL;TPI1;GAPDH;HOOK2;LDHA;PGK1;ENO2;HOOK3;PFKFB1;ENO1
SoravsNC	GO_Biological_Process_2025	Acylglycerol Homeostasis (GO:0055090)	2.00146416406	0	0.00436056417132	APOC3;APOA1;APOA5;MLXIPL;APOE;RORA;LIPC;ANGPTL4;SCARB1;APOC2;PLA2G12B;APOA4
SoravsNC	GO_Biological_Process_2025	Alpha-Amino Acid Catabolic Process (GO:1901606)	1.88503949686	0	0.0168700559569	PIPOX;ALDH6A1;ACADSB;SARDH;HOGA1
SoravsNC	GO_Biological_Process_2025	Amino Acid Catabolic Process (GO:0009063)	1.88642881952	0	0.0178270123475	ALDH6A1;ETFB;LDHD;ECHS1;BCKDHA;ALDH5A1;MCCC1;BCKDK;BCKDHB
SoravsNC	GO_Biological_Process_2025	Amino Acid Transport (GO:0006865)	-1.70062490417	0.00358422939068	0.0399102975492	SLC7A1;SLC1A5;SLC38A1;SLC6A14;SLC1A4;SLC38A2;SLC7A6;SLC3A2;SLC43A2;SLC6A11;SLC7A2;SLC38A5;SLC6A6
SoravsNC	GO_Biological_Process_2025	Antibacterial Humoral Response (GO:0019731)	1.79086975092	0	0.0415843919679	TF;FGB;FGA;HLA-E;RNASE4;PLA2G6;HLA-A;ANG;B2M
SoravsNC	GO_Biological_Process_2025	Aromatic Amino Acid Family Catabolic Process (GO:0009074)	1.76461089993	0.004158004158	0.0422571647258	UROC1;HPD;ATAT1;HGD;HAL;GSTZ1;HNMT;KYNU
SoravsNC	GO_Biological_Process_2025	Bile Acid Biosynthetic Process (GO:0006699)	1.76475923609	0.00229357798165	0.0433642263958	CYP27A1;AKR1D1;OSBPL7;CYP7A1;ACOX2;CYP8B1;ACOT8;HSD3B7;ABCD3
SoravsNC	GO_Biological_Process_2025	Branched-Chain Amino Acid Catabolic Process (GO:0009083)	1.7442594269	0.00881057268722	0.046445504934	ALDH6A1;LDHD;HMGCL;ECHS1;BCKDHA;MCCC1;BCKDK;BCKDHB
SoravsNC	GO_Biological_Process_2025	Carbohydrate Catabolic Process (GO:0016052)	1.89495035935	0	0.0161597378114	PKLR;PGM1;ENO3;ALDOC;PFKL;NEU4;TPI1;MANBA;MAN2C1;GAPDH;HOOK2;LDHA;ENOSF1;PGK1;NAGA;ENO2;HOOK3;PFKFB1;ENO1;DERA;CTBS
SoravsNC	GO_Biological_Process_2025	Carbohydrate Derivative Catabolic Process (GO:1901136)	1.90138227946	0	0.0160827866789	GALM;GALK1;FBXO17;PGM1;GALT;NEU4;GLB1;FBXO44;MANBA;FBXO6;FBXO2;NAGA;FUCA1
SoravsNC	GO_Biological_Process_2025	Carboxylic Acid Catabolic Process (GO:0046395)	1.72686958894	0.00849256900212	0.0481252382249	ALDH6A1;AMDHD2;LDHD;ECHS1;BCKDHA;MCCC1;BCKDK;BCKDHB;ACOT8;MPST;DBT
SoravsNC	GO_Biological_Process_2025	Carboxylic Acid Transport (GO:0046942)	-1.89107624245	0	0.00471198692796	SLC7A1;SLC1A5;SLC38A1;SLC6A14;SLC1A4;SLC38A2;SLC7A6;SLC3A2;SLC43A2;ABCC1;SLC16A6;SLC6A11;SLC7A2;SLC38A5;SLC6A6
SoravsNC	GO_Biological_Process_2025	Cardiac Muscle Cell Contraction (GO:0086003)	1.82137043089	0	0.0312201737308	GSN;CAMK2D;SCN9A;SCN1A;CACNA1D
SoravsNC	GO_Biological_Process_2025	Cardiac Ventricle Morphogenesis (GO:0003208)	-1.72521197898	0.00187969924812	0.0316899633675	JAG1;TGFBR3;TGFBR2;TGFB1;BMP4;HEY1;FKBP1A;SOX4
SoravsNC	GO_Biological_Process_2025	Cell Chemotaxis (GO:0060326)	-1.81743843498	0	0.0128761738026	CCL20;EPHA2;BCAR1;CCR6;NRP1;HBEGF;PIP5K1A;PDGFRB;DOCK4;NR4A1;PARVA;RHOG;CORO1B
SoravsNC	GO_Biological_Process_2025	Cell Cycle G1/S Phase Transition (GO:0044843)	-1.69338263749	0.00173310225303	0.0420464107177	MYC;BCAT1;EIF4EBP1;GSPT1;PLK3;CCND1;CCNJ;E2F3;EIF4E;CDC25A;RCC1;CUL3;TRIM71;CCND3;CCNJL;CCNE1;CDK4;LATS2;CDK2;CUL2;LATS1;CUL4A
SoravsNC	GO_Biological_Process_2025	Cellular Response to Chemical Stress (GO:0062197)	-1.88094325584	0	0.00526639564633	XBP1;SRXN1;NFE2L2;ATF4;ETV5;HIF1A;SESN2;HM13;PYCR1;EIF2S1;NQO1;GSR;PNPT1;ERMP1;VKORC1L1;PYCR2;ZFAND1;RPTOR;LONP1;UBL4A;FOXO1;ABL1;KEAP1;CHCHD2;LRRC8D;CUL3;SELENOS;DHRS2;DDX3X;ATP13A2;SETX;PARK7;STK24;PPIA;PYROXD1;TRIM21
SoravsNC	GO_Biological_Process_2025	Cellular Response to Cytokine Stimulus (GO:0071345)	-1.82606956777	0	0.0113288117088	EGR1;XBP1;SH2B3;NFE2L2;EPRS1;TNFRSF1A;HIF1A;TNFRSF21;LRP8;OSMR;ZFP36L1;IL4R;ANKRD1;ARHGEF2;SYNCRIP;YBX3;NR1D1;MT2A;PNPT1;IFITM2;PHB1;PTPN11;CRLF1;HAX1;MT1X;HNRNPU;CALM1;LRCH1;RIPOR1;PDE12;NFKB1;SLC12A2;HYAL2;LONP1;CXCL8;CLCF1;SOCS4;EDA;CHUK;TANK;AKT1;UBE2G2;NKX3-1;SOCS3;OAS1;STAT1;CBL;AXL;IL18;KHSRP;CDK9;STK39;CIB1;F3;DUSP12;USP32;SBNO2;GBA1;CD58;LDLRAP1;TCF7
SoravsNC	GO_Biological_Process_2025	Cellular Response to Glucose Starvation (GO:0042149)	-1.80601029046	0.00178890876565	0.0150382413858	XBP1;MYBBP1A;HSPA5;ATF4;SESN2;YWHAG;CPEB4;PLIN3;PMAIP1;BHLHA15;SH3GLB1;NUAK2;TBL2;YWHAZ;RRP8;PRKAA1;PIK3R4;ZC3H12A;FOXO3;KICS2;SIRT1
SoravsNC	GO_Biological_Process_2025	Cellular Response to Oxidative Stress (GO:0034599)	-1.73873172677	0	0.0282420898748	XBP1;SRXN1;NFE2L2;ATF4;ETV5;HIF1A;SRC;SESN2;HM13;PYCR1;EIF2S1;NQO1;GSR;PNPT1;ERMP1;FOS;VKORC1L1;PYCR2;ZFAND1;LONP1;UBL4A;FOXO1;ABL1;KEAP1;CHCHD2;CUL3;SELENOS;DHRS2;ATP13A2;MMP3;SETX;PARK7;STK24;PPIA;PYROXD1;PEX10;AGAP3;PRKAA1;ERCC6L2;PEX5;VRK2
SoravsNC	GO_Biological_Process_2025	Cellular Response to Transforming Growth Factor Beta Stimulus (GO:0071560)	-1.6806537442	0	0.0451962764426	GDF15;JUN;TGFBR3;TGFBR2;SRC;ADAM9;ZFP36L1;ITGB1;ANKRD1;FURIN;TGFB1;ITGB5;ID1;BAMBI;FOS;HYAL2;ZYX;LRG1;SMAD1;TGFBRAP1
SoravsNC	GO_Biological_Process_2025	Cholesterol Biosynthetic Process (GO:0006695)	1.87899325464	0	0.016621444606	CES1;MSMO1;TM7SF2;DHCR7;INSIG2;HMGCS1;FDFT1;HSD17B7;HMGCR;MVD;SC5D;ACLY;DHCR24;MVK;NSDHL
SoravsNC	GO_Biological_Process_2025	Cholesterol Efflux (GO:0033344)	1.87211878276	0	0.017506382629	APOC3;APOA1;APOA5;ABCA7;APOE;ABCG8;SCARB1;NPC2;ABCA5;APOC2;APOC1;ABCG5;APOA4
SoravsNC	GO_Biological_Process_2025	Cholesterol Homeostasis (GO:0042632)	1.73264221888	0	0.0478570553421	APOC3;APOA1;APOA5;MTTP;CES1;ABCA2;APOE;ABCG8;LCAT;RORA;HSDL2;EPHX2;ACOX1;LIPC;SCARB1;NPC2;NFE2L1;PCSK9;ABCA5;TMEM97;APOC2;FGFR4;PLA2G12B;EHD1;ABCG5;APOA4
SoravsNC	GO_Biological_Process_2025	Cholesterol Metabolic Process (GO:0008203)	2.03860655667	0	0.00200072944331	APOA1;APOA5;SULT2A1;CES1;ACAA2;CYP27A1;MSMO1;APOE;TM7SF2;DHCR7;AKR1D1;LCAT;INSIG2;HMGCS1;APOL2;FDFT1;ABCA5;HSD17B7;SQLE;HMGCR;APOA4;MVD;CYP7A1;ACLY;DHCR24;MVK;TSKU;GBA2;NSDHL
SoravsNC	GO_Biological_Process_2025	Cholesterol Transport (GO:0030301)	1.88411718724	0	0.0159948425276	APOC3;APOA1;APOA5;CES1;ABCA7;CLU;APOE;ABCG8;LCAT;LIPC;SCARB1;NPC2;ABCA5;APOC2;STARD4;APOC1;ABCG5;APOA4;CD36
SoravsNC	GO_Biological_Process_2025	Cytoplasmic Translational Initiation (GO:0002183)	-1.73523980136	0	0.0294689182471	EIF2S2;EIF4A1;EIF3J;EIF3B;EIF4G1;EIF3I;EIF2B3;EIF3M;EIF3A;EIF2B2;EIF2B5;EIF3C;EIF5;SLBP;NCBP1;EIF3K;EIF3G;EIF2B4;EIF2S3;EIF2B1;MCTS2;EIF3D;DHX29
SoravsNC	GO_Biological_Process_2025	DNA Replication (GO:0006260)	-1.81754856586	0	0.0130110170448	TOP1;POLR1B;POLR1A;RNASEH1;TWNK;GRWD1;MCM7;SSBP1;MCM5;MCM6;MCM4;SET;POLE3;RFC3;FEN1;SLC19A1;MCM8;POLA1;MCMBP;POLE4;ORC5;RFC4;CDK2;POLD2;RFC2;CHRAC1;TBRG1;BLM;RECQL;CDK2AP1;POLA2;WDR18
SoravsNC	GO_Biological_Process_2025	DNA Replication Initiation (GO:0006270)	-1.74038991717	0.00193798449612	0.0279693563694	CDC6;MCM7;MCM5;CDC45;LRWD1;NOC3L;ORC6;POLA1;ORC5;MCM3;MCM10;SLC25A15;ORC4;POLA2
