contrast	direction	library	term	overlap	query_size	gene_set_size	background_size	pvalue	overlap_genes	fdr
SoravsNC	up	MSigDB_Hallmark_2020	Coagulation	32	1272	121	20329	1.7195590278356444e-12	APOA1;APOC3;C1R;C1S;C2;C3;C8A;C8B;CTSK;F10;F11;F12;F13B;FGA;FGG;GSN;HMGCS2;HPN;ITIH1;KLKB1;MMP11;MST1;PLG;PROZ;PRSS23;RGN;S100A1;SERPINC1;SERPING1;TF;TIMP3;TMPRSS6	6.878236111342578e-11
SoravsNC	up	MSigDB_Hallmark_2020	Bile Acid Metabolism	24	1272	95	20329	2.785251159308222e-09	ABCA2;ABCA5;ABCG8;AGXT;AKR1D1;ALDH8A1;APOA1;CAT;CROT;CYP7A1;CYP8B1;DIO1;EPHX2;GNMT;HSD17B6;OPTN;PECR;PEX11A;PEX6;PHYH;PIPOX;RXRA;SERPINA6;SLC23A1	5.570502318616444e-08
SoravsNC	up	MSigDB_Hallmark_2020	Xenobiotic Metabolism	33	1272	174	20329	9.229472851704467e-09	ACSM1;ALDH3A1;ARG1;CAT;CD36;CDO1;CROT;CSAD;CYFIP2;CYP4F2;DHRS1;ECH1;ENTPD5;ESR1;F10;F11;FABP1;GCKR;GNMT;HGFAC;ITIH1;ITIH4;JUP;LCAT;LEAP2;PLG;PMM1;SERPINA6;SLC6A12;TKFC;TTPA;UPB1;VTN	1.2305963802272624e-07
SoravsNC	up	MSigDB_Hallmark_2020	Myogenesis	22	1272	142	20329	7.197272974463601e-05	ACTN3;ATP2A1;CD36;CTF1;ENO3;FABP3;FKBP1B;FXYD1;GSN;HDAC5;ITGA7;MYOM1;PPFIA4;PPP1R3C;PTP4A3;PYGM;SCD;SORBS3;TNNC1;TNNC2;TNNI2;TPM2	0.00071972729744636
SoravsNC	up	MSigDB_Hallmark_2020	Hypoxia	21	1272	179	20329	0.004100649996669325	ALDOB;ALDOC;ANGPTL4;BNIP3L;CCNG2;CP;EFNA1;EFNA3;ENO3;GALK1;INHA;KLHL24;NDRG1;PCK1;PKLR;PLAC8;PPFIA4;PPP1R3C;PYGM;RORA;WSB1	0.029466823426404967
SoravsNC	up	MSigDB_Hallmark_2020	Cholesterol Homeostasis	11	1272	71	20329	0.004420023513960745	ABCA2;ACSS2;ALDOC;ANXA13;ECH1;FBXO6;GSTM2;LSS;SCD;TM7SF2;TP53INP1	0.029466823426404967
SoravsNC	up	MSigDB_Hallmark_2020	Fatty Acid Metabolism	16	1272	137	20329	0.011757615039571581	ALAD;ALDH3A1;AQP7;CD36;CEL;ECH1;EHHADH;ENO3;FABP1;GLUL;HMGCL;HMGCS2;PPARA;RDH16;REEP6;TP53INP2	0.06718637165469475
SoravsNC	up	MSigDB_Hallmark_2020	Pperoxisome	11	1272	93	20329	0.030471519793306104	ALB;CAT;CEL;DIO1;ECH1;EHHADH;EPHX2;HMGCL;PEX11A;PEX6;SERPINA6	0.14905460490058092
SoravsNC	up	MSigDB_Hallmark_2020	Complement	16	1272	155	20329	0.03353728610263071	APOA4;C1R;C1S;C2;C3;CD36;CP;F10;F5;IRF7;ITIH1;KLKB1;PLG;SERPINC1;SERPING1;TMPRSS6	0.14905460490058092
SoravsNC	up	MSigDB_Hallmark_2020	KRAS Signaling Dn	12	1272	108	20329	0.03749014640502105	CDH16;CLSTN3;COL2A1;EFHD1;FGGY;HTR1D;ITIH3;MSH5;MYO15A;SLC38A3;TAS2R4;YBX2	0.1499605856200842
