contrast	comparison	log2fc_spearman	stat_spearman	deg_jaccard	shared_deg_sign_agreement	common_genes
SoravsNC	RSEM DESeq2 vs Salmon DESeq2	0.9810711677912064	0.9935940213575316	0.9343629343629344	1.0	20413
SoravsNC	RSEM DESeq2 vs STAR DESeq2	0.8782822224126053	0.957110884977842	0.6580578512396694	1.0	19475
SoravsNC	RSEM DESeq2 vs RSEM edgeR	0.9999941856779644		0.8795744680851064	1.0	14816
SoravsNC	RSEM DESeq2 vs RSEM Limma	0.9763660591266412	0.9874812418078643	0.7774257425742575	1.0	16306
SpivsNC	RSEM DESeq2 vs Salmon DESeq2	0.974226419254791	0.9895603301558341	0.8769230769230769	1.0	20413
SpivsNC	RSEM DESeq2 vs STAR DESeq2	0.7974350732421088	0.9157375655692768	0.4876543209876543	1.0	19475
SpivsNC	RSEM DESeq2 vs RSEM edgeR	0.9999932940638463		0.8436213991769548	1.0	14816
SpivsNC	RSEM DESeq2 vs RSEM Limma	0.9643606894592223	0.9619146010021541	0.6496478873239436	1.0	16306
TegvsNC	RSEM DESeq2 vs Salmon DESeq2	0.9764391492305968	0.9922988315130269	0.898989898989899	1.0	20413
TegvsNC	RSEM DESeq2 vs STAR DESeq2	0.8227278740119578	0.938090444200973	0.5536105032822757	1.0	19475
TegvsNC	RSEM DESeq2 vs RSEM edgeR	0.9999848603737486		0.8708333333333333	1.0	14816
TegvsNC	RSEM DESeq2 vs RSEM Limma	0.97517148836986	0.9857073443012525	0.7120291616038882	1.0	16306
