contrast	ensembl_gene_id	gene_symbol	rank_score	stat	log2FoldChange	padj
SoravsNC	ENSG00000151012	SLC7A11	-47.8901465743847	-47.8901465743847	-3.98721053106898	0.0
SoravsNC	ENSG00000137331	IER3	-47.0809815955624	-47.0809815955624	-3.75790444766147	0.0
SoravsNC	ENSG00000111057	KRT18	-46.388981667731	-46.388981667731	-1.76723721335734	0.0
SoravsNC	ENSG00000139318	DUSP6	-44.1451092707394	-44.1451092707394	-3.66177353951432	0.0
SoravsNC	ENSG00000115009	CCL20	-42.8000477862683	-42.8000477862683	-3.06329729346899	0.0
SoravsNC	ENSG00000187678	SPRY4	-42.4713227015253	-42.4713227015253	-3.9423493320535	0.0
SoravsNC	ENSG00000110245	APOC3	41.6970354978697	41.6970354978697	3.81396690269787	0.0
SoravsNC	ENSG00000139514	SLC7A1	-40.9746882458356	-40.9746882458356	-2.28706833444388	0.0
SoravsNC	ENSG00000120738	EGR1	-40.9696910968949	-40.9696910968949	-6.42321977111499	0.0
SoravsNC	ENSG00000130513	GDF15	-39.5957347511248	-39.5957347511248	-2.65849632039545	0.0
SoravsNC	ENSG00000221890	NPTXR	39.3626296806195	39.3626296806195	2.7810479398858	0.0
SoravsNC	ENSG00000065911	MTHFD2	-38.9551771188416	-38.9551771188416	-2.17513397371936	0.0
SoravsNC	ENSG00000091513	TF	38.609860872427	38.609860872427	1.85219734735436	0.0
SoravsNC	ENSG00000142627	EPHA2	-38.5403184015813	-38.5403184015813	-2.35677701382855	0.0
SoravsNC	ENSG00000148180	GSN	38.4249282560443	38.4249282560443	1.98573578375662	0.0
SoravsNC	ENSG00000198074	AKR1B10	-37.6414785409885	-37.6414785409885	-2.5466061852828	0.0
SoravsNC	ENSG00000148672	GLUD1	37.0162961081524	37.0162961081524	1.30040601630075	6.99913560249776e-297
SoravsNC	ENSG00000101384	JAG1	-36.8335099900464	-36.8335099900464	-2.4824246115235	5.6699235860891e-294
SoravsNC	ENSG00000123983	ACSL3	-36.0780657361013	-36.0780657361013	-1.48312934400484	5.00829049736097e-282
SoravsNC	ENSG00000105281	SLC1A5	-36.050921230293	-36.050921230293	-2.12617083198587	1.26734050845201e-281
SpivsNC	ENSG00000118785	SPP1	-46.7630089984421	-46.7630089984421	-1.45008469867794	0.0
SpivsNC	ENSG00000164379	FOXQ1	-37.8568314107995	-37.8568314107995	-2.1616485184631	0.0
SpivsNC	ENSG00000120738	EGR1	-33.0965291756998	-33.0965291756998	-2.77856475224881	1.6234311450952402e-236
SpivsNC	ENSG00000139269	INHBE	-29.8180154427471	-29.8180154427471	-2.96715265041867	8.33380342836784e-192
SpivsNC	ENSG00000067082	KLF6	-29.1532702128287	-29.1532702128287	-1.85795708829341	2.21853055059064e-183
SpivsNC	ENSG00000139289	PHLDA1	-29.0019944796386	-29.0019944796386	-1.46349179268276	1.51177389713618e-181
SpivsNC	ENSG00000129474	AJUBA	-28.4966225787136	-28.4966225787136	-1.38664573216703	2.69191256694969e-175
SpivsNC	ENSG00000137801	THBS1	-27.7768826906493	-27.7768826906493	-1.54793588510031	1.50699124949212e-166
